City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,cabatuan,10.8794,122.486,299.38,83,66,0.93,PH,1691621342
336,uray,60.1247,64.7758,287.83,65,92,3.23,RU,1691621343
337,taytay,14.5678,121.1394,302.11,88,75,3.09,PH,1691621343
338,naze,28.3667,129.4833,299.66,84,66,5.3,JP,1691621343
339,new norfolk,-42.7826,147.0587,286.44,70,84,2.47,AU,1691621343
340,aflou,34.1128,2.1023,299.37,26,11,2.29,DZ,1691621343
341,abha,18.2164,42.5053,295.05,46,0,2.06,SA,1691621344
342,parkes,-33.1333,148.1833,286.68,51,2,0.45,AU,1691621344
343,vorkuta,67.5,64.0,280.4,91,25,3.32,RU,1691621344
344,ghormach,35.7306,63.7826,299.08,29,0,2.94,AF,1691621344
345,homer,59.6425,-151.5483,287.47,88,100,0.0,US,1691621344
346,rathdrum,47.8137,-116.892,301.41,44,75,0.89,US,1691621345
347,sijunjung,-0.6876,100.9537,294.65,98,50,0.44,ID,1691621345
348,hassi messaoud,31.6804,6.0729,308.07,17,0,1.03,DZ,1691621345
349,sisimiut,66.9395,-53.6735,278.52,89,100,4.13,GL,1691621345
350,jertih,5.7336,102.4897,297.04,93,58,1.6,MY,1691621345
351,cidreira,-30.1811,-50.2056,289.67,96,100,9.69,BR,1691621345
352,selfoss,63.9331,-20.9971,284.29,78,99,1.6,IS,1691621346
353,yasuj,30.6682,51.588,294.9,43,0,0.0,IR,1691620806
354,diego de almagro,-26.3667,-70.05,290.04,45,75,2.01,CL,1691621187
355,hutang,31.5333,119.4833,298.31,88,71,1.52,CN,1691621346
356,mananjary,-21.2167,48.3333,292.53,91,65,1.06,MG,1691621346
357,barquisimeto,10.0739,-69.3228,304.5,51,9,8.75,VE,1691621346
358,holualoa,19.6228,-155.9522,302.06,72,40,5.66,US,1691621347
359,fraserburgh,57.6874,-2.0184,286.17,75,100,2.41,GB,1691621347
360,maracas,-13.4411,-40.4308,288.93,80,17,4.51,BR,1691621347
361,voru,57.8339,27.0194,284.45,86,8,1.68,EE,1691621347
362,molochnoye,59.2917,39.6787,290.43,80,51,2.77,RU,1691621347
